id,name,countryCode,latitude,longitude,population
172136,Los Angeles County,US,34.05,-118.25,10014009
123214,New York City,US,40.712777777,-74.006111111,8804190
171371,Cook County,US,41.8,-87.716666666,5275541
170962,Harris County,US,29.86,-95.39,4731145
172113,Maricopa County,US,33.513888888,-112.475833333,4420568
3855177,Los Angeles,US,34.05223,-118.24368,3898747
172156,San Diego County,US,33.02,-116.77,3298634
172146,Orange County,US,33.67,-117.78,3186989
120473,Chicago,US,41.85003,-87.65005,2746388
122111,Brooklyn,US,40.65083,-73.94972,2736074
